pest_entity_id,symptom_entity_id,confidence,description
KG-ENT-016,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-017,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-017,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-018,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-018,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-019,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-019,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-020,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-020,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-021,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-021,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-022,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-022,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-023,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-023,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-024,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-024,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-025,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-025,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-026,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-026,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-027,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-027,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-028,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-028,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-029,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-029,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-030,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-030,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-031,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-031,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-032,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-032,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
